Variable,Unit
CO2,million tons of CO2
TPES,million tons of oil equivalent
GDP,billion 2005 dollars
POP,millions
CO2TPES,tons CO2/tons of oil equivalent
CO2CAPITA,tons of CO2
ENERGYCAPITA,tons of oil equivalent
GDPCAPITA,2005 dollars
TPESGDP,tons of oil equivalent per thousand 2005 dollars
