"Country","Code","id","CO2","CO2CAPITA","ENERGY","ENERGYCAPITA","GDP","GDPCAPITA"
"Greece","GRC","300","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007"
"Guatemala","GTM","320","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Haiti","HTI","332","Highest was 2014","Highest was 2014","Highest was 2014","From 2008 to 2013","Highest was 2014","Before 1990"
"Honduras","HND","340","Highest was 2014","From 2000 to 2007","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Hong Kong","HKG","344","Highest was 2014","From 1990 to 1999","From 1990 to 1999","From 1990 to 1999","Highest was 2014","Highest was 2014"
"Hungary","HUN","348","Before 1990","Before 1990","Before 1990","Before 1990","From 2008 to 2013","Highest was 2014"
"Iceland","ISL","352","From 2000 to 2007","From 1990 to 1999","From 2008 to 2013","From 2008 to 2013","Highest was 2014","From 2000 to 2007"
"India","IND","356","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Indonesia","IDN","360","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014"
"Iran","IRN","364","Highest was 2014","Highest was 2014","Highest was 2014","Highest was 2014","From 2008 to 2013","Before 1990"
"Iraq","IRQ","368","Highest was 2014","From 1990 to 1999","Highest was 2014","From 1990 to 1999","From 2008 to 2013","From 2008 to 2013"
"Ireland","IRL","372","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","Highest was 2014","From 2000 to 2007"
"Israel","ISR","376","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","From 2008 to 2013","Highest was 2014","Highest was 2014"
"Italy","ITA","380","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007"
"Jamaica","JAM","388","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","From 2000 to 2007","Before 1990"
"Japan","JPN","392","From 2008 to 2013","From 2008 to 2013","From 2000 to 2007","From 2000 to 2007","From 2008 to 2013","Highest was 2014"
